id,name,city,state,Latitude,Longitude,C_D,Street number,Street,City,State,Country,Zip,Full_Address,,,,,,,,c_d
539,Twin Lakes Brewing Company,Greenville, DE,39.7790012,-75.5982599,Greenville  DE,,,Greenville,Delaware,United States,19807,"Greenville, New Castle County, Delaware, United States, 19807",,,,,,,,GreenvilleDE
316,Iron Hill Brewery & Restaurant,Wilmington, DE,39.7390721,-75.5397878,Wilmington  DE,,,Wilmington,Delaware,United States,,"Wilmington, New Castle County, Delaware, United States",,,,,,,,WilmingtonDE
227,DC Brau Brewing Company,Washington, DC,38.9071923,-77.0368707,Washington  DC,,,Washington,District of Columbia,United States,,"Washington, District of Columbia, District of Columbia, United States",,,,,,,,WashingtonDC
340,Due South Brewing Company,Boynton Beach, FL,26.5317866,-80.0905465,Boynton Beach  FL,,,Boynton Beach,Florida,United States,,"Boynton Beach, Palm Beach County, Florida, United States",,,,,,,,BoyntonBeachFL
373,7venth Sun,Dunedin, FL,28.0197404,-82.7717684,Dunedin  FL,,,Dunedin,Florida,United States,,"Dunedin, Pinellas County, Florida, United States",,,,,,,,DunedinFL
447,Swamp Head Brewery,Gainesville, FL,29.6516344,-82.3248262,Gainesville  FL,,,Gainesville,Florida,United States,,"Gainesville, Alachua County, Florida, United States",,,,,,,,GainesvilleFL
378,Bold City Brewery,Jacksonville, FL,30.3321838,-81.655651,Jacksonville  FL,,,Jacksonville,Florida,United States,,"Jacksonville, Duval County, Florida, United States",,,,,,,,JacksonvilleFL
466,Green Room Brewing,Jacksonville, FL,30.3321838,-81.655651,Jacksonville  FL,,,Jacksonville,Florida,United States,,"Jacksonville, Duval County, Florida, United States",,,,,,,,JacksonvilleFL
527,Intuition Ale Works,Jacksonville, FL,30.3321838,-81.655651,Jacksonville  FL,,,Jacksonville,Florida,United States,,"Jacksonville, Duval County, Florida, United States",,,,,,,,JacksonvilleFL
465,Engine 15 Brewing,Jacksonville Beach, FL,30.2841224,-81.3961338,Jacksonville Beach  FL,,,Jacksonville Beach,Florida,United States,,"Jacksonville Beach, Duval County, Florida, United States",,,,,,,,JacksonvilleBeachFL
393,Miami Brewing Company,Miami, FL,25.7616798,-80.1917902,Miami  FL,,,Miami,Florida,United States,,"Miami, Miami-Dade County, Florida, United States",,,,,,,,MiamiFL
221,Big Storm Brewing Company,Odessa, FL,28.1793926,-82.5579537,Odessa  FL,,,Odessa,Florida,United States,,"Odessa, Pasco County, Florida, United States",,,,,,,,OdessaFL
243,Two Henrys Brewing Company,Plant City, FL,28.0186323,-82.1128641,Plant City  FL,,,Plant City,Florida,United States,,"Plant City, Hillsborough County, Florida, United States",,,,,,,,PlantCityFL
67,3 Daughters Brewing,St Petersburg, FL,27.7676008,-82.6402915,St Petersburg  FL,,,Saint Petersburg,Florida,United States,,"Saint Petersburg, Pinellas County, Florida, United States",,,,,,,,StPetersburgFL
141,Cigar City Brewing Company,Tampa, FL,27.950575,-82.4571776,Tampa  FL,,,Tampa,Florida,United States,,"Tampa, Hillsborough County, Florida, United States",,,,,,,,TampaFL
308,Brew Bus Brewing,Tampa, FL,27.950575,-82.4571776,Tampa  FL,,,Tampa,Florida,United States,,"Tampa, Hillsborough County, Florida, United States",,,,,,,,TampaFL
490,Tampa Bay Brewing Company,Tampa, FL,27.950575,-82.4571776,Tampa  FL,,,Tampa,Florida,United States,,"Tampa, Hillsborough County, Florida, United States",,,,,,,,TampaFL
467,Brindle Dog Brewing Company,Tampa Bay, FL,27.763383,-82.5436722,Tampa Bay  FL,,,Tampa Bay,Florida,United States,,"Tampa Bay, Florida, United States",,,,,,,,TampaBayFL
247,Creature Comforts,Athens, GA,33.9519347,-83.357567,Athens  GA,,,Athens,Georgia,United States,,"Athens, Clarke County, Georgia, United States",,,,,,,,AthensGA
